id,ticketId,customerId,customerName,mobileNo,apxProductName,itemBrandName,itemCode,productName,status,branchCode,branchName,warehouseCode,comments,remarks,department,serialNo,duration,expiryTime,createdByName,createdByEmpId,createdByBranch,createdByBranchCode,createdByDesignation,createdByDept,updatedByName,updatedByEmpId,updatedByBranch,updatedByBranchCode,updatedByDesignation,updatedByDept,ItemImage,transactions,upload_images,releaseImages,createdAt,updatedAt,request_attempts,invoice_no
01K3T3WXGDG0000,PC_SA_4425449,PC-CUS-123719,Sathish,6369539341,Mobile,Apple,41921,LG 8.0Kg Fully Automatic Top Load Washing Machine,SerialNo Verified,ZSOW,West Branch,WH01,Processing,"Invoice verified for this request, but the serial number has not yet been updated for this ticket ID.",Mobiles & Accessories,3.56545E+14,one hour,2025-08-29T08:13:10,Sathish,19925,Corporate-Ektl,ADMI,Senior Software Engineer,Software Development,Dhana,19925,Corporate-Ektl,ADMI,Senior Software Engineer,Software Development,https://img-prd-pim.poorvika.com/product/lg-8-0kg-fully-automatic-front-load-washing-machine-t80ajmb1z-middle-black-front-view.png,"[{""actionBy"": {""branch"": ""Corporate-Ektl"", ""branchCode"": ""CHEN"", ""date"": ""2025-08-29T05:13:10"", ""dept"": ""Software Development"", ""designation"": ""Senior Software Engineer"", ""empId"": ""19000"", ""name"": ""Dhana""}, ""assignedBy"": {""date"": ""2025-08-29T05:14:10""}, ""assignedTo"": {""date"": ""2025-08-29T05:15:10""}, ""branchCity"": ""Hyderabad"", ""branchContactNo"": [""9842347972""], ""branchState"": ""Telangana""}, {""actionBy"": {""branchCode"": ""CHEN"", ""empId"": ""15000"", ""name"": ""Meena""}, ""expiryTime"": ""2025-08-29T08:13:10"", ""remarks"": ""test"", ""serialNo"": ""356545215454957"", ""status"": ""Approved""}, {""actionBy"": {""branch"": ""Corporate-Ektl"", ""branchCode"": ""ZSOW"", ""dept"": ""Software Development"", ""designation"": ""Senior Software Engineer"", ""empId"": ""19000"", ""name"": ""Dhana""}, ""expiryTime"": """", ""remarks"": ""Invoice verified for this request, but the serial number has not yet been updated for this ticket ID."", ""serialNo"": """", ""status"": ""Invoice Verified""}]","[""https://example.com/upload/0_img1.png"", ""https://example.com/upload/0_img2.png""]","[""https://example.com/release/0_rel1.png""]",2025-08-10T05:13:10,2025-08-29T13:17:15,1,"[""INV/1000"", ""INV/2000""]"
01K3T3WXGDG0001,PC_SA_4425450,PC-CUS-123720,Harish,6369561704,Mobile,LG,41922,Sony Bravia 55 Inch TV,SerialNo Verified,CHEN,South Branch,ZONL,Waiting,"Invoice verified for this request, but the serial number has not yet been updated for this ticket ID.",Mobiles & Accessories,3.56545E+14,one hour,2025-08-30T08:13:10,Sathish,19925,Corporate-Ektl,ADMI,Senior Software Engineer,Software Development,Priya,19925,Corporate-Ektl,ADMI,Senior Software Engineer,Software Development,https://img-prd-pim.poorvika.com/product/lg-8-0kg-fully-automatic-front-load-washing-machine-t80ajmb1z-middle-black-front-view.png,"[{""actionBy"": {""branch"": ""Corporate-Ektl"", ""branchCode"": ""BLRE"", ""date"": ""2025-08-30T05:13:10"", ""dept"": ""Software Development"", ""designation"": ""Senior Software Engineer"", ""empId"": ""19001"", ""name"": ""Kumar""}, ""assignedBy"": {""date"": ""2025-08-30T05:14:10""}, ""assignedTo"": {""date"": ""2025-08-30T05:15:10""}, ""branchCity"": ""Hyderabad"", ""branchContactNo"": [""9845909358""], ""branchState"": ""Karnataka""}, {""actionBy"": {""branchCode"": ""ADMI"", ""empId"": ""15001"", ""name"": ""Ravi""}, ""expiryTime"": ""2025-08-30T08:13:10"", ""remarks"": ""test"", ""serialNo"": ""356545215454376"", ""status"": ""Approved""}, {""actionBy"": {""branch"": ""Corporate-Ektl"", ""branchCode"": ""BLRE"", ""dept"": ""Software Development"", ""designation"": ""Senior Software Engineer"", ""empId"": ""19001"", ""name"": ""Dhana""}, ""expiryTime"": """", ""remarks"": ""Invoice verified for this request, but the serial number has not yet been updated for this ticket ID."", ""serialNo"": """", ""status"": ""Invoice Verified""}]","[""https://example.com/upload/1_img1.png"", ""https://example.com/upload/1_img2.png""]","[""https://example.com/release/1_rel1.png""]",2025-08-11T05:13:10,2025-08-30T13:17:15,1,"[""INV/1001"", ""INV/2001""]"
01K3T3WXGDG0002,PC_SA_4425451,PC-CUS-123721,Arun,6369568396,Watch,Apple,41923,Fire-Boltt Smart Watch,SerialNo Verified,CHEN,South Branch,WH03,Waiting,"Invoice verified for this request, but the serial number has not yet been updated for this ticket ID.",Mobiles & Accessories,3.56545E+14,one hour,2025-08-31T08:13:10,Priya,19925,Corporate-Ektl,ADMI,Senior Software Engineer,Software Development,Sathish,19925,Corporate-Ektl,ADMI,Senior Software Engineer,Software Development,https://img-prd-pim.poorvika.com/product/lg-8-0kg-fully-automatic-front-load-washing-machine-t80ajmb1z-middle-black-front-view.png,"[{""actionBy"": {""branch"": ""Corporate-Ektl"", ""branchCode"": ""CHEN"", ""date"": ""2025-08-31T05:13:10"", ""dept"": ""Software Development"", ""designation"": ""Senior Software Engineer"", ""empId"": ""19002"", ""name"": ""Dhana""}, ""assignedBy"": {""date"": ""2025-08-31T05:14:10""}, ""assignedTo"": {""date"": ""2025-08-31T05:15:10""}, ""branchCity"": ""Mumbai"", ""branchContactNo"": [""9843414141""], ""branchState"": ""Tamil Nadu""}, {""actionBy"": {""branchCode"": ""CHEN"", ""empId"": ""15002"", ""name"": ""Ravi""}, ""expiryTime"": ""2025-08-31T08:13:10"", ""remarks"": ""test"", ""serialNo"": ""356545215454055"", ""status"": ""Pending""}, {""actionBy"": {""branch"": ""Corporate-Ektl"", ""branchCode"": ""CHEN"", ""dept"": ""Software Development"", ""designation"": ""Senior Software Engineer"", ""empId"": ""19002"", ""name"": ""Kumar""}, ""expiryTime"": """", ""remarks"": ""Invoice verified for this request, but the serial number has not yet been updated for this ticket ID."", ""serialNo"": """", ""status"": ""Invoice Verified""}]","[""https://example.com/upload/2_img1.png"", ""https://example.com/upload/2_img2.png""]","[""https://example.com/release/2_rel1.png""]",2025-08-12T05:13:10,2025-08-31T13:17:15,1,"[""INV/1002"", ""INV/2002""]"
01K3T3WXGDG0003,PC_SA_4425452,PC-CUS-123722,Divya,6369545561,Tablet,Samsung,41924,LG 8.0Kg Fully Automatic Top Load Washing Machine,SerialNo Verified,ZSOW,Corporate-Ektl,WH02,Testing,"Invoice verified for this request, but the serial number has not yet been updated for this ticket ID.",Mobiles & Accessories,3.56545E+14,one hour,2025-09-01T08:13:10,Sathish,19925,Corporate-Ektl,ADMI,Senior Software Engineer,Software Development,Sathish,19925,Corporate-Ektl,ADMI,Senior Software Engineer,Software Development,https://img-prd-pim.poorvika.com/product/lg-8-0kg-fully-automatic-front-load-washing-machine-t80ajmb1z-middle-black-front-view.png,"[{""actionBy"": {""branch"": ""Corporate-Ektl"", ""branchCode"": ""BLRE"", ""date"": ""2025-09-01T05:13:10"", ""dept"": ""Software Development"", ""designation"": ""Senior Software Engineer"", ""empId"": ""19003"", ""name"": ""Dhana""}, ""assignedBy"": {""date"": ""2025-09-01T05:14:10""}, ""assignedTo"": {""date"": ""2025-09-01T05:15:10""}, ""branchCity"": ""Hyderabad"", ""branchContactNo"": [""9842416849""], ""branchState"": ""Tamil Nadu""}, {""actionBy"": {""branchCode"": ""ZSOW"", ""empId"": ""15003"", ""name"": ""Ravi""}, ""expiryTime"": ""2025-09-01T08:13:10"", ""remarks"": ""test"", ""serialNo"": ""356545215454479"", ""status"": ""Approved""}, {""actionBy"": {""branch"": ""Corporate-Ektl"", ""branchCode"": ""BLRE"", ""dept"": ""Software Development"", ""designation"": ""Senior Software Engineer"", ""empId"": ""19003"", ""name"": ""Priya""}, ""expiryTime"": """", ""remarks"": ""Invoice verified for this request, but the serial number has not yet been updated for this ticket ID."", ""serialNo"": """", ""status"": ""Invoice Verified""}]","[""https://example.com/upload/3_img1.png"", ""https://example.com/upload/3_img2.png""]","[""https://example.com/release/3_rel1.png""]",2025-08-13T05:13:10,2025-09-01T13:17:15,1,"[""INV/1003"", ""INV/2003""]"
01K3T3WXGDG0004,PC_SA_4425453,PC-CUS-123723,Anitha,6369589501,Laptop,LG,41925,Fire-Boltt Smart Watch,SerialNo Verified,CHEN,Corporate-Ektl,WH02,Processing,"Invoice verified for this request, but the serial number has not yet been updated for this ticket ID.",Mobiles & Accessories,3.56545E+14,one hour,2025-09-02T08:13:10,Priya,19925,Corporate-Ektl,ADMI,Senior Software Engineer,Software Development,Dhana,19925,Corporate-Ektl,ADMI,Senior Software Engineer,Software Development,https://img-prd-pim.poorvika.com/product/lg-8-0kg-fully-automatic-front-load-washing-machine-t80ajmb1z-middle-black-front-view.png,"[{""actionBy"": {""branch"": ""Corporate-Ektl"", ""branchCode"": ""BLRE"", ""date"": ""2025-09-02T05:13:10"", ""dept"": ""Software Development"", ""designation"": ""Senior Software Engineer"", ""empId"": ""19004"", ""name"": ""Kumar""}, ""assignedBy"": {""date"": ""2025-09-02T05:14:10""}, ""assignedTo"": {""date"": ""2025-09-02T05:15:10""}, ""branchCity"": ""Hyderabad"", ""branchContactNo"": [""9842967827""], ""branchState"": ""Maharashtra""}, {""actionBy"": {""branchCode"": ""BLRE"", ""empId"": ""15004"", ""name"": ""Ravi""}, ""expiryTime"": ""2025-09-02T08:13:10"", ""remarks"": ""verified"", ""serialNo"": ""356545215454963"", ""status"": ""Rejected""}, {""actionBy"": {""branch"": ""Corporate-Ektl"", ""branchCode"": ""CHEN"", ""dept"": ""Software Development"", ""designation"": ""Senior Software Engineer"", ""empId"": ""19004"", ""name"": ""Sathish""}, ""expiryTime"": """", ""remarks"": ""Invoice verified for this request, but the serial number has not yet been updated for this ticket ID."", ""serialNo"": """", ""status"": ""Invoice Verified""}]","[""https://example.com/upload/4_img1.png"", ""https://example.com/upload/4_img2.png""]","[""https://example.com/release/4_rel1.png""]",2025-08-14T05:13:10,2025-09-02T13:17:15,1,"[""INV/1004"", ""INV/2004""]"
01K3T3WXGDG0005,PC_SA_4425454,PC-CUS-123724,Geetha,6369526007,Laptop,Apple,41926,Apple MacBook Pro 14,SerialNo Verified,ADMI,North Branch,WH02,Processing,"Invoice verified for this request, but the serial number has not yet been updated for this ticket ID.",Mobiles & Accessories,3.56545E+14,one hour,2025-09-03T08:13:10,Sathish,19925,Corporate-Ektl,ADMI,Senior Software Engineer,Software Development,Kumar,19925,Corporate-Ektl,ADMI,Senior Software Engineer,Software Development,https://img-prd-pim.poorvika.com/product/lg-8-0kg-fully-automatic-front-load-washing-machine-t80ajmb1z-middle-black-front-view.png,"[{""actionBy"": {""branch"": ""Corporate-Ektl"", ""branchCode"": ""ZSOW"", ""date"": ""2025-09-03T05:13:10"", ""dept"": ""Software Development"", ""designation"": ""Senior Software Engineer"", ""empId"": ""19005"", ""name"": ""Priya""}, ""assignedBy"": {""date"": ""2025-09-03T05:14:10""}, ""assignedTo"": {""date"": ""2025-09-03T05:15:10""}, ""branchCity"": ""Hyderabad"", ""branchContactNo"": [""9849772839""], ""branchState"": ""Karnataka""}, {""actionBy"": {""branchCode"": ""ADMI"", ""empId"": ""15005"", ""name"": ""Meena""}, ""expiryTime"": ""2025-09-03T08:13:10"", ""remarks"": ""ok"", ""serialNo"": ""356545215454240"", ""status"": ""Rejected""}, {""actionBy"": {""branch"": ""Corporate-Ektl"", ""branchCode"": ""ADMI"", ""dept"": ""Software Development"", ""designation"": ""Senior Software Engineer"", ""empId"": ""19005"", ""name"": ""Dhana""}, ""expiryTime"": """", ""remarks"": ""Invoice verified for this request, but the serial number has not yet been updated for this ticket ID."", ""serialNo"": """", ""status"": ""Invoice Verified""}]","[""https://example.com/upload/5_img1.png"", ""https://example.com/upload/5_img2.png""]","[""https://example.com/release/5_rel1.png""]",2025-08-15T05:13:10,2025-09-03T13:17:15,1,"[""INV/1005"", ""INV/2005""]"
01K3T3WXGDG0006,PC_SA_4425455,PC-CUS-123725,Priya,6369592477,Laptop,LG,41927,Sony Bravia 55 Inch TV,SerialNo Verified,ADMI,West Branch,WH03,Testing,"Invoice verified for this request, but the serial number has not yet been updated for this ticket ID.",Mobiles & Accessories,3.56545E+14,one hour,2025-09-04T08:13:10,Sathish,19925,Corporate-Ektl,ADMI,Senior Software Engineer,Software Development,Sathish,19925,Corporate-Ektl,ADMI,Senior Software Engineer,Software Development,https://img-prd-pim.poorvika.com/product/lg-8-0kg-fully-automatic-front-load-washing-machine-t80ajmb1z-middle-black-front-view.png,"[{""actionBy"": {""branch"": ""Corporate-Ektl"", ""branchCode"": ""ADMI"", ""date"": ""2025-09-04T05:13:10"", ""dept"": ""Software Development"", ""designation"": ""Senior Software Engineer"", ""empId"": ""19006"", ""name"": ""Sathish""}, ""assignedBy"": {""date"": ""2025-09-04T05:14:10""}, ""assignedTo"": {""date"": ""2025-09-04T05:15:10""}, ""branchCity"": ""Mumbai"", ""branchContactNo"": [""9847528106""], ""branchState"": ""Tamil Nadu""}, {""actionBy"": {""branchCode"": ""ZSOW"", ""empId"": ""15006"", ""name"": ""Ravi""}, ""expiryTime"": ""2025-09-04T08:13:10"", ""remarks"": ""ok"", ""serialNo"": ""356545215454622"", ""status"": ""Approved""}, {""actionBy"": {""branch"": ""Corporate-Ektl"", ""branchCode"": ""BLRE"", ""dept"": ""Software Development"", ""designation"": ""Senior Software Engineer"", ""empId"": ""19006"", ""name"": ""Kumar""}, ""expiryTime"": """", ""remarks"": ""Invoice verified for this request, but the serial number has not yet been updated for this ticket ID."", ""serialNo"": """", ""status"": ""Invoice Verified""}]","[""https://example.com/upload/6_img1.png"", ""https://example.com/upload/6_img2.png""]","[""https://example.com/release/6_rel1.png""]",2025-08-16T05:13:10,2025-09-04T13:17:15,1,"[""INV/1006"", ""INV/2006""]"
01K3T3WXGDG0007,PC_SA_4425456,PC-CUS-123726,Priya,6369540910,Laptop,Sony,41928,Sony Bravia 55 Inch TV,SerialNo Verified,CHEN,Corporate-Ektl,WH01,Waiting,"Invoice verified for this request, but the serial number has not yet been updated for this ticket ID.",Mobiles & Accessories,3.56545E+14,one hour,2025-09-05T08:13:10,Priya,19925,Corporate-Ektl,ADMI,Senior Software Engineer,Software Development,Priya,19925,Corporate-Ektl,ADMI,Senior Software Engineer,Software Development,https://img-prd-pim.poorvika.com/product/lg-8-0kg-fully-automatic-front-load-washing-machine-t80ajmb1z-middle-black-front-view.png,"[{""actionBy"": {""branch"": ""Corporate-Ektl"", ""branchCode"": ""CHEN"", ""date"": ""2025-09-05T05:13:10"", ""dept"": ""Software Development"", ""designation"": ""Senior Software Engineer"", ""empId"": ""19007"", ""name"": ""Sathish""}, ""assignedBy"": {""date"": ""2025-09-05T05:14:10""}, ""assignedTo"": {""date"": ""2025-09-05T05:15:10""}, ""branchCity"": ""Bangalore"", ""branchContactNo"": [""9848283080""], ""branchState"": ""Karnataka""}, {""actionBy"": {""branchCode"": ""ADMI"", ""empId"": ""15007"", ""name"": ""Sahubar Sathik K""}, ""expiryTime"": ""2025-09-05T08:13:10"", ""remarks"": ""test"", ""serialNo"": ""356545215454320"", ""status"": ""Pending""}, {""actionBy"": {""branch"": ""Corporate-Ektl"", ""branchCode"": ""CHEN"", ""dept"": ""Software Development"", ""designation"": ""Senior Software Engineer"", ""empId"": ""19007"", ""name"": ""Kumar""}, ""expiryTime"": """", ""remarks"": ""Invoice verified for this request, but the serial number has not yet been updated for this ticket ID."", ""serialNo"": """", ""status"": ""Invoice Verified""}]","[""https://example.com/upload/7_img1.png"", ""https://example.com/upload/7_img2.png""]","[""https://example.com/release/7_rel1.png""]",2025-08-17T05:13:10,2025-09-05T13:17:15,1,"[""INV/1007"", ""INV/2007""]"
01K3T3WXGDG0008,PC_SA_4425457,PC-CUS-123727,Priya,6369552266,Tablet,Apple,41929,Sony Bravia 55 Inch TV,SerialNo Verified,BLRE,West Branch,WH02,Testing,"Invoice verified for this request, but the serial number has not yet been updated for this ticket ID.",Mobiles & Accessories,3.56545E+14,one hour,2025-09-06T08:13:10,Dhana,19925,Corporate-Ektl,ADMI,Senior Software Engineer,Software Development,Sathish,19925,Corporate-Ektl,ADMI,Senior Software Engineer,Software Development,https://img-prd-pim.poorvika.com/product/lg-8-0kg-fully-automatic-front-load-washing-machine-t80ajmb1z-middle-black-front-view.png,"[{""actionBy"": {""branch"": ""Corporate-Ektl"", ""branchCode"": ""BLRE"", ""date"": ""2025-09-06T05:13:10"", ""dept"": ""Software Development"", ""designation"": ""Senior Software Engineer"", ""empId"": ""19008"", ""name"": ""Kumar""}, ""assignedBy"": {""date"": ""2025-09-06T05:14:10""}, ""assignedTo"": {""date"": ""2025-09-06T05:15:10""}, ""branchCity"": ""Bangalore"", ""branchContactNo"": [""9843496449""], ""branchState"": ""Maharashtra""}, {""actionBy"": {""branchCode"": ""BLRE"", ""empId"": ""15008"", ""name"": ""Ravi""}, ""expiryTime"": ""2025-09-06T08:13:10"", ""remarks"": ""test"", ""serialNo"": ""356545215454923"", ""status"": ""Rejected""}, {""actionBy"": {""branch"": ""Corporate-Ektl"", ""branchCode"": ""CHEN"", ""dept"": ""Software Development"", ""designation"": ""Senior Software Engineer"", ""empId"": ""19008"", ""name"": ""Sathish""}, ""expiryTime"": """", ""remarks"": ""Invoice verified for this request, but the serial number has not yet been updated for this ticket ID."", ""serialNo"": """", ""status"": ""Invoice Verified""}]","[""https://example.com/upload/8_img1.png"", ""https://example.com/upload/8_img2.png""]","[""https://example.com/release/8_rel1.png""]",2025-08-18T05:13:10,2025-09-06T13:17:15,1,"[""INV/1008"", ""INV/2008""]"
01K3T3WXGDG0009,PC_SA_4425458,PC-CUS-123728,Arun,6369529031,Laptop,Samsung,41930,LG 8.0Kg Fully Automatic Top Load Washing Machine,SerialNo Verified,ZSOW,North Branch,WH02,Processing,"Invoice verified for this request, but the serial number has not yet been updated for this ticket ID.",Mobiles & Accessories,3.56545E+14,one hour,2025-09-07T08:13:10,Kumar,19925,Corporate-Ektl,ADMI,Senior Software Engineer,Software Development,Priya,19925,Corporate-Ektl,ADMI,Senior Software Engineer,Software Development,https://img-prd-pim.poorvika.com/product/lg-8-0kg-fully-automatic-front-load-washing-machine-t80ajmb1z-middle-black-front-view.png,"[{""actionBy"": {""branch"": ""Corporate-Ektl"", ""branchCode"": ""ADMI"", ""date"": ""2025-09-07T05:13:10"", ""dept"": ""Software Development"", ""designation"": ""Senior Software Engineer"", ""empId"": ""19009"", ""name"": ""Kumar""}, ""assignedBy"": {""date"": ""2025-09-07T05:14:10""}, ""assignedTo"": {""date"": ""2025-09-07T05:15:10""}, ""branchCity"": ""Bangalore"", ""branchContactNo"": [""9847870037""], ""branchState"": ""Tamil Nadu""}, {""actionBy"": {""branchCode"": ""BLRE"", ""empId"": ""15009"", ""name"": ""Ravi""}, ""expiryTime"": ""2025-09-07T08:13:10"", ""remarks"": ""ok"", ""serialNo"": ""356545215454730"", ""status"": ""Approved""}, {""actionBy"": {""branch"": ""Corporate-Ektl"", ""branchCode"": ""CHEN"", ""dept"": ""Software Development"", ""designation"": ""Senior Software Engineer"", ""empId"": ""19009"", ""name"": ""Dhana""}, ""expiryTime"": """", ""remarks"": ""Invoice verified for this request, but the serial number has not yet been updated for this ticket ID."", ""serialNo"": """", ""status"": ""Invoice Verified""}]","[""https://example.com/upload/9_img1.png"", ""https://example.com/upload/9_img2.png""]","[""https://example.com/release/9_rel1.png""]",2025-08-19T05:13:10,2025-09-07T13:17:15,1,"[""INV/1009"", ""INV/2009""]"
